Time Bucket (Europe/Budapest),Hauptverteiler_1 (kWatts),Hauptverteiler_2 (kWatts),Hauptverteiler_3 (kWatts),Garage 1 (kWatts),Garage 2 (kWatts),Garage 3 (kWatts),UV 1 (kWatts),UV 2 (kWatts),UV 3 (kWatts),Mikrowelle (71) (kWatts),Arbeitszimmer (17) (kWatts),Sina (23) (kWatts),Malte (22) (kWatts),Studio (20) (kWatts),Lüftung (31) (kWatts),Geschirrspüler (38) (kWatts),Heizung (32) (kWatts),Backofen (kWatts),Kühltruhe (kWatts)
07/10/2022 03:50:00,0.0760,0.0494,0.0785,0.0008,0.0027,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0539
07/10/2022 03:51:00,0.0569,0.0480,0.0783,0.0006,0.0027,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0253
07/10/2022 03:52:00,0.0413,0.0511,0.0782,0.0011,0.0022,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 03:53:00,0.0416,0.0486,0.0776,0.0012,0.0020,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 03:54:00,0.0417,0.0489,0.0779,0.0015,0.0030,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 03:55:00,0.0418,0.0483,0.0783,0.0014,0.0025,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 03:56:00,0.0418,0.0493,0.0777,0.0007,0.0021,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 03:57:00,0.0416,0.0500,0.0781,0.0009,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 03:58:00,0.0417,0.0499,0.0781,0.0010,0.0023,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 03:59:00,0.0414,0.0494,0.0772,0.0010,0.0024,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:00:00,0.0417,0.0486,0.0791,0.0015,0.0024,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:01:00,0.0417,0.0487,0.0786,0.0009,0.0028,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:02:00,0.0416,0.0494,0.0780,0.0006,0.0019,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:03:00,0.0416,0.0489,0.0780,0.0015,0.0027,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:04:00,0.0418,0.0512,0.0779,0.0017,0.0017,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:05:00,0.0415,0.0501,0.0782,0.0014,0.0024,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:06:00,0.0944,0.0501,0.0782,0.0012,0.0029,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:07:00,0.1022,0.0490,0.0780,0.0014,0.0024,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:08:00,0.0999,0.0495,0.0781,0.0017,0.0027,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:09:00,0.0997,0.0494,0.0777,0.0011,0.0019,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:10:00,0.0991,0.0491,0.0786,0.0013,0.0024,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:11:00,0.0983,0.0494,0.0780,0.0016,0.0030,0.0085,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:12:00,0.0982,0.0503,0.0777,0.0017,0.0020,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:13:00,0.0979,0.0520,0.0779,0.0015,0.0023,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:14:00,0.0982,0.0505,0.0787,0.0009,0.0032,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:15:00,0.0977,0.0502,0.0777,0.0018,0.0027,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:16:00,0.0974,0.0491,0.0779,0.0010,0.0029,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:17:00,0.0968,0.0507,0.0783,0.0013,0.0027,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:18:00,0.0968,0.0523,0.0779,0.0014,0.0023,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:19:00,0.0966,0.0510,0.0780,0.0014,0.0027,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:20:00,0.0965,0.0499,0.0780,0.0008,0.0022,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:21:00,0.1177,0.0503,0.0785,0.0011,0.0033,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0001,0.0229
07/10/2022 04:22:00,0.0777,0.0510,0.0779,0.0014,0.0022,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0551
07/10/2022 04:23:00,0.0769,0.0494,0.0775,0.0010,0.0026,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0541
07/10/2022 04:24:00,0.0769,0.0478,0.0784,0.0016,0.0030,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0546
07/10/2022 04:25:00,0.0778,0.0486,0.0782,0.0008,0.0026,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0557
07/10/2022 04:26:00,0.0777,0.0493,0.0782,0.0016,0.0024,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0556
07/10/2022 04:27:00,0.0781,0.0488,0.0779,0.0015,0.0021,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0556
07/10/2022 04:28:00,0.0773,0.0490,0.0779,0.0009,0.0024,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0550
07/10/2022 04:29:00,0.0769,0.0472,0.0777,0.0013,0.0023,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0543
07/10/2022 04:30:00,0.0761,0.0509,0.0787,0.0013,0.0021,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0534
07/10/2022 04:31:00,0.0437,0.0493,0.0785,0.0013,0.0028,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0022
07/10/2022 04:32:00,0.0426,0.0479,0.0780,0.0012,0.0027,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:33:00,0.0417,0.0490,0.0780,0.0015,0.0027,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:34:00,0.0414,0.0497,0.0776,0.0011,0.0020,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:35:00,0.0416,0.0513,0.0777,0.0013,0.0021,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:36:00,0.0412,0.0511,0.0782,0.0010,0.0024,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:37:00,0.0414,0.0515,0.0777,0.0013,0.0026,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:38:00,0.0412,0.0478,0.0778,0.0012,0.0026,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:39:00,0.0418,0.0490,0.0776,0.0007,0.0023,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:40:00,0.0416,0.0505,0.0777,0.0016,0.0023,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:41:00,0.0416,0.0488,0.0781,0.0011,0.0015,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:42:00,0.0412,0.0482,0.0783,0.0007,0.0025,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:43:00,0.0417,0.0479,0.0778,0.0014,0.0022,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:44:00,0.0412,0.0506,0.0780,0.0013,0.0027,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:45:00,0.0415,0.0475,0.0780,0.0006,0.0026,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:46:00,0.0412,0.0498,0.0774,0.0017,0.0022,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:47:00,0.0412,0.0496,0.0779,0.0008,0.0025,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:48:00,0.0415,0.0501,0.0779,0.0013,0.0022,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:49:00,0.0413,0.0491,0.0778,0.0013,0.0030,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:50:00,0.0413,0.0522,0.0783,0.0005,0.0019,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:51:00,0.0410,0.0492,0.0777,0.0014,0.0024,0.0094,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:52:00,0.0413,0.0497,0.0778,0.0012,0.0025,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:53:00,0.0413,0.0531,0.0775,0.0014,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:54:00,0.0414,0.0520,0.0776,0.0008,0.0028,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:55:00,0.0416,0.0509,0.0777,0.0010,0.0031,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:56:00,0.0414,0.0511,0.0781,0.0009,0.0019,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:57:00,0.1158,0.0516,0.0781,0.0010,0.0025,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:58:00,0.1011,0.0514,0.0780,0.0013,0.0020,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 04:59:00,0.1005,0.0500,0.0775,0.0011,0.0027,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:00:00,0.0993,0.0508,0.0780,0.0008,0.0024,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:01:00,0.1392,0.0550,0.0778,0.0010,0.0026,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0409
07/10/2022 05:02:00,0.1508,0.0515,0.0780,0.0013,0.0021,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0531
07/10/2022 05:03:00,0.1512,0.0515,0.0781,0.0013,0.0029,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0542
07/10/2022 05:04:00,0.1511,0.0520,0.0784,0.0012,0.0029,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0548
07/10/2022 05:05:00,0.1520,0.0515,0.0780,0.0013,0.0021,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0557
07/10/2022 05:06:00,0.1518,0.0536,0.0776,0.0011,0.0026,0.0094,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0557
07/10/2022 05:07:00,0.1511,0.0557,0.0781,0.0011,0.0021,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0553
07/10/2022 05:08:00,0.1504,0.0525,0.0781,0.0020,0.0023,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0551
07/10/2022 05:09:00,0.1495,0.0532,0.0781,0.0012,0.0029,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0542
07/10/2022 05:10:00,0.1351,0.0515,0.0776,0.0010,0.0022,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0398
07/10/2022 05:11:00,0.0960,0.0520,0.0784,0.0012,0.0030,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:12:00,0.0765,0.0532,0.0779,0.0017,0.0027,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:13:00,0.0412,0.0509,0.0776,0.0014,0.0025,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:14:00,0.0410,0.0532,0.0783,0.0018,0.0021,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:15:00,0.0441,0.0539,0.0843,0.0012,0.0026,0.0094,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:16:00,0.0381,0.0462,0.0718,0.0011,0.0027,0.0084,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:17:00,0.0413,0.0498,0.0774,0.0013,0.0022,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:18:00,0.0411,0.0494,0.0780,0.0017,0.0022,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:19:00,0.0412,0.0518,0.0780,0.0017,0.0023,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:20:00,0.0414,0.0503,0.0781,0.0018,0.0023,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:21:00,0.0413,0.0502,0.0779,0.0009,0.0020,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:22:00,0.0412,0.0514,0.0777,0.0012,0.0025,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:23:00,0.0412,0.0531,0.0778,0.0017,0.0023,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:24:00,0.0414,0.0512,0.0778,0.0007,0.0027,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:25:00,0.0413,0.0499,0.0781,0.0011,0.0024,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:26:00,0.0414,0.0501,0.0779,0.0008,0.0026,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:27:00,0.0414,0.0507,0.0777,0.0008,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:28:00,0.0412,0.0502,0.0780,0.0010,0.0026,0.0086,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:29:00,0.0409,0.0537,0.0780,0.0018,0.0019,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:30:00,0.0411,0.0505,0.0790,0.0012,0.0024,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:31:00,0.0410,0.0513,0.0779,0.0012,0.0021,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:32:00,0.0414,0.0497,0.0781,0.0016,0.0021,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:33:00,0.0414,0.0499,0.0779,0.0010,0.0027,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:34:00,0.0415,0.0502,0.0785,0.0009,0.0030,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:35:00,0.0413,0.0483,0.0780,0.0014,0.0023,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:36:00,0.0414,0.0495,0.0780,0.0012,0.0029,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:37:00,0.0415,0.0504,0.0780,0.0009,0.0023,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:38:00,0.0412,0.0487,0.0779,0.0015,0.0020,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:39:00,0.0416,0.0501,0.0780,0.0009,0.0027,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:40:00,0.0412,0.0492,0.0782,0.0009,0.0026,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:41:00,0.0804,0.0522,0.0782,0.0017,0.0025,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0507
07/10/2022 05:42:00,0.0750,0.0499,0.0783,0.0017,0.0029,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0538
07/10/2022 05:43:00,0.0757,0.0491,0.0782,0.0015,0.0023,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0540
07/10/2022 05:44:00,0.0767,0.0506,0.0781,0.0015,0.0023,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0549
07/10/2022 05:45:00,0.0769,0.0492,0.0782,0.0005,0.0027,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0554
07/10/2022 05:46:00,0.1124,0.0518,0.0781,0.0013,0.0027,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0552
07/10/2022 05:47:00,0.1598,0.0527,0.0780,0.0019,0.0025,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0548
07/10/2022 05:48:00,0.1539,0.0527,0.0778,0.0014,0.0029,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0541
07/10/2022 05:49:00,0.1529,0.0513,0.0780,0.0009,0.0021,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0538
07/10/2022 05:50:00,0.1299,0.0523,0.0778,0.0011,0.0028,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0310
07/10/2022 05:51:00,0.0989,0.0490,0.0780,0.0011,0.0021,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:52:00,0.0982,0.0507,0.0775,0.0015,0.0027,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:53:00,0.0979,0.0502,0.0780,0.0010,0.0024,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:54:00,0.0971,0.0481,0.0786,0.0010,0.0025,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:55:00,0.0971,0.0492,0.0783,0.0011,0.0023,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:56:00,0.0969,0.0505,0.0778,0.0017,0.0030,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:57:00,0.0967,0.0532,0.3547,0.2806,0.0033,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:58:00,0.0961,0.0566,0.5275,0.4560,0.0024,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 05:59:00,0.0959,0.0539,0.4953,0.4225,0.0029,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:00:00,0.0961,0.0537,0.0781,0.0010,0.0023,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:01:00,0.0940,0.0509,0.0781,0.0011,0.0026,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:02:00,0.0405,0.0517,0.0779,0.0014,0.0025,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:03:00,0.0416,0.0496,0.0780,0.0011,0.0030,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:04:00,0.0415,0.0493,0.0782,0.0009,0.0031,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:05:00,0.0412,0.0533,0.0779,0.0016,0.0024,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:06:00,0.0413,0.0508,0.0779,0.0016,0.0029,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:07:00,0.0415,0.0522,0.0776,0.0015,0.0024,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:08:00,0.0411,0.0506,0.0775,0.0019,0.0030,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:09:00,0.0412,0.0530,0.0773,0.0014,0.0025,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/10/2022 06:10:00,0.0409,0.0558,0.0778,0.0011,0.0023,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
